team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
CSK,KKR,KKR,Field,Umesh Yadav,Wankhede Stadium,Mumbai,131,133,KKR,6,0
MI,DC,DC,Field,Kuldeep Yadav,Brabourne Stadium,Mumbai,177,179,DC,4,0
RCB,Punjab,Punjab,Field,Odean Smith,Dr DY Patil Sports Academy,Mumbai,205,208,Punjab,5,0
RR,SRH,SRH,Field,Sanju Samson,Maharashtra Cricket Association Stadium,Pune,210,149,RR,0,61
KKR,RCB,RCB,Field,Wanindu Hasaranga de Silva,Dr DY Patil Sports Academy,Mumbai,128,132,RCB,3,0
CSK,LSG,LSG,Field,Evin Lewis,Brabourne Stadium,Mumbai,210,211,LSG,6,0
Punjab,KKR,KKR,Field,Umesh Yadav,Wankhede Stadium,Mumbai,137,141,KKR,6,0
RR,MI,MI,Field,Jos Buttler,Dr DY Patil Sports Academy,Mumbai,193,170,RR,0,23
Punjab,CSK,CSK,Field,Liam Livingstone,Brabourne Stadium,Mumbai,180,126,Punjab,0,54
LSG,SRH,SRH,Field,Avesh Khan,Dr DY Patil Sports Academy,Mumbai,169,157,LSG,0,12
RR,RCB,RCB,Field,Dinesh Karthik,Wankhede Stadium,Mumbai,169,173,RCB,4,0
MI,KKR,KKR,Field,Pat Cummins,Maharashtra Cricket Association Stadium,Pune,161,162,KKR,5,0
DC,LSG,LSG,Field,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai,149,155,LSG,6,0
CSK,SRH,SRH,Field,Abhishek Sharma,Dr DY Patil Sports Academy,Mumbai,154,155,SRH,8,0
MI,RCB,RCB,Field,Anuj Rawat,Maharashtra Cricket Association Stadium,Pune,151,152,RCB,7,0
DC,KKR,KKR,Field,Kuldeep Yadav,Brabourne Stadium,Mumbai,215,171,DC,0,44
RR,LSG,LSG,Field,Yuzvendra Chahal,Wankhede Stadium,Mumbai,165,162,RR,0,3
CSK,RCB,RCB,Field,Shivam Dube,Dr DY Patil Sports Academy,Mumbai,216,193,CSK,0,23
Punjab,MI,MI,Field,Mayank Agarwal,Maharashtra Cricket Association Stadium,Pune,198,186,Punjab,0,12
KKR,SRH,SRH,Field,Rahul Tripathi,Brabourne Stadium,Mumbai,175,176,SRH,7,0
LSG,MI,MI,Field,KL Rahul,Brabourne Stadium,Mumbai,199,181,LSG,0,18
RCB,DC,DC,Field,Dinesh Karthik,Wankhede Stadium,Mumbai,189,173,RCB,0,16
Punjab,SRH,SRH,Field,Umran Malik,Dr DY Patil Sports Academy,Mumbai,151,152,SRH,7,0
RR,KKR,KKR,Field,Yuzvendra Chahal,Brabourne Stadium,Mumbai,217,210,RR,0,7
RCB,LSG,LSG,Field,Faf du Plessis,Dr DY Patil Sports Academy,Mumbai,181,163,RCB,0,18
Punjab,DC,DC,Field,Kuldeep Yadav,Brabourne Stadium,Mumbai,115,119,DC,9,0
MI,CSK,CSK,Field,Mukesh Choudhary,Dr DY Patil Sports Academy,Mumbai,155,156,CSK,3,0
RR,DC,DC,Field,Jos Buttler,Wankhede Stadium,Mumbai,222,207,RR,0,15
RCB,SRH,SRH,Field,Marco Jansen,Brabourne Stadium,Mumbai,68,72,SRH,9,0
LSG,MI,MI,Field,KL Rahul,Wankhede Stadium,Mumbai,168,132,LSG,0,36
Punjab,CSK,CSK,Field,Shikhar Dhawan,Wankhede Stadium,Mumbai,187,176,Punjab,0,11
RR,RCB,RCB,Field,Riyan Parag,Maharashtra Cricket Association Stadium,Pune,144,115,RR,0,29
KKR,DC,DC,Field,Kuldeep Yadav,Wankhede Stadium,Mumbai,146,150,DC,4,0
